feature,importance
sensor_11,0.20146457294054282
sensor_4,0.1482577810577963
sensor_20,0.11860949822578995
sensor_12,0.08701387333670654
sensor_15,0.07761632251781278
sensor_7,0.06567641321455674
sensor_21,0.051365392275160945
sensor_14,0.03879318428519507
sensor_2,0.03850585008585778
sensor_9,0.03658112453055078
sensor_17,0.03546356174565984
sensor_3,0.033606069660600216
sensor_8,0.030554322088557528
sensor_13,0.020377665999661634
op_setting_1,0.009421862125274844
op_setting_2,0.006687525949573484
sensor_6,4.9799607028903686e-06
sensor_1,0.0
sensor_5,0.0
sensor_10,0.0
sensor_16,0.0
sensor_18,0.0
sensor_19,0.0
op_setting_3,0.0
